Brandstof omschrijving,Merk,Aantal auto's
Benzine,A.C.,12
Benzine,A.C. AUTOKRAFT,3
Benzine,A.C.L.,2
Benzine,A.K.S.,1
Benzine,A.M.C.,15
Benzine,ABARTH,6
Benzine,ABSOLUTE PACE,1
Benzine,ACCUBUILT,1
Benzine,ACURA,28
Benzine,ADAMO,1
Benzine,ADLER,5
Benzine,AERO,4
Benzine,AIRSTREAM,5
Benzine,AIXAM,2
Benzine,AK SPORTSCARS,3
Benzine,ALFA,7
Benzine,ALFA LANCIA,6
Benzine,ALFA ROMEO,17461
Benzine,ALLARD,3
Benzine,ALLIED VEHICLES LTD,11
Benzine,ALPINA,420
Benzine,ALPINE,203
Benzine,ALPINE-RENAULT,29
Benzine,ALVIS,58
Benzine,AMBASSADOR,1
Benzine,AMC,21
Benzine,AMC JEEP,12
Benzine,AMERICAN,1
Benzine,AMERICAN LA FRANCE,5
Benzine,AMERICAN MOTORS,3
Benzine,AMILCAR,14
Benzine,AMPHICAR,28
Benzine,ANTIQUE & COLLECTIBLE,1
Benzine,API CZ,10
Benzine,ARBGEM. DB/HHF,3
Benzine,ARIEL,5
Benzine,ARIES,1
Benzine,ARISTOCAT,2
Benzine,ARMSTRONG SIDDELEY,9
Benzine,ARNOLT BRISTOL,3
Benzine,ARTEGA,1
Benzine,ASCARI,1
Benzine,ASIA,2
Benzine,ASTER,1
Benzine,ASTON MARTIN,986
Benzine,ATD,1
Benzine,AUBURN,4
Benzine,AUBURN REPLICA,2
Benzine,AUDI,143763
Benzine,AUDI-NSU,2
Benzine,AUDI/PORSCHE,5
Benzine,AUSTIN,242
Benzine,AUSTIN-HEALEY,207
Benzine,AUSTIN-MORRIS,4
Benzine,AUTO BIANCHI,64
Benzine,AUTO BLEU,1
Benzine,AUTO UNION,305
Benzine,AUTOMOBILES CITROEN,1
Benzine,AUTOMOBILI LAMBORGHINI S.,140
Benzine,AUTOVILLA,1
Benzine,AUTOZAM,3
Benzine,AVANTI,1
Benzine,AVIONS VOISIN,1
Benzine,AVIONS VOISINS,1
Benzine,B-STYLE & FLEX-I-TRANS,2
Benzine,BAC,2
Benzine,BACKDRAFT,1
Benzine,BANHAM,3
Benzine,BARCLAY MINI BUG,1
Benzine,BARKAS,10
Benzine,BECK,1
Benzine,BEDELIA,1
Benzine,BEDFORD,6
Benzine,BEDFORD-HYMERMOBIL,1
Benzine,BEIJING JEEP CORPORATION,1
Benzine,BENJAMIN,3
Benzine,BENTLEY,1526
Benzine,BENZ,5
Benzine,BERLIET,2
Benzine,BERTONE,8
Benzine,BIAC,1
Benzine,BIANCHINA,1
Benzine,BIEBER,1
Benzine,BIERMAN,2
Benzine,BINZ,12
Benzine,BIOTA,1
Benzine,BIRKIN,1
Benzine,BITTER,7
Benzine,BMC,2
Benzine,BMW,186148
Benzine,BMW I,2
Benzine,BMW-GLAS,3
Benzine,BMW/ALPINA,16
Benzine,BOHSE,1
Benzine,BOMBARDIER,18
Benzine,BOND,5
Benzine,BORGWARD,22
Benzine,BOSMAL,2
Benzine,BRA,1
Benzine,BRABUS,7
Benzine,BRICKLIN,1
Benzine,BRIGGS & STRATTON,1
Benzine,BRIGHTWHEEL,1
Benzine,BRISTOL,9
Benzine,BROOKE,1
Benzine,BS,1
Benzine,BUCKLER,1
Benzine,BUESSING,2
Benzine,BUGATTI,47
Benzine,BUICK,333
Benzine,BUICK OPEL,2
Benzine,C.I.D.,1
Benzine,CADILLAC,801
Benzine,CAP,2
Benzine,CAPE ADVANCED VEHICLES,1
Benzine,CAR CRAFT,4
Benzine,CARBODIES,1
Benzine,CATERHAM,16
Benzine,CATERHAM CARS LTD,6
Benzine,CBP,1
Benzine,CHALMERS,2
Benzine,CHAMONIX,5
Benzine,CHAUSSON,1
Benzine,CHECKER,3
Benzine,CHEETAH,1
Benzine,CHENARD & WALCKER,5
Benzine,CHEVROLET,10891
Benzine,CHEVROLET DAEWOO,11
Benzine,CHEVROLET-AIRSTREAM,1
Benzine,CHEVROLET-WINNEBAGO,2
Benzine,CHRYSLER,1057
Benzine,CHRYSLER-SIMCA,13
Benzine,CISITALIA,6
Benzine,CITROEN,181320
Benzine,CITROEN-DS,7
Benzine,CLASSIC ROADSTERS,1
Benzine,CLEMENT-BAYARD,1
Benzine,CLENET,7
Benzine,CMC,2
Benzine,COACHMAN MIRADA,1
Benzine,COACHMEN,2
Benzine,COBRA,2
Benzine,COBRA REPLICA,7
Benzine,COMMER,2
Benzine,CONTINENTAL,2
Benzine,CORD,2
Benzine,CORVETTE,17
Benzine,COVIN,1
Benzine,CUPRA,348
Benzine,D.K.W.,24
Benzine,DACIA,33843
Benzine,DAEWOO,160
Benzine,DAF,307
Benzine,DAIHATSU,3531
Benzine,DAIMLER,148
Benzine,DAIMLER BENZ,95
Benzine,DAIMLERCHRYSLER (USA),50
Benzine,DAIMLERCHRYSLER AG,472
Benzine,DARRACQ,3
Benzine,DATSUN,184
Benzine,DAX,25
Benzine,DAX COBRA,3
Benzine,DAX COBRA REPLICA,1
Benzine,DB,2
Benzine,DE DIETRICH,1
Benzine,DE DION BOUTON,4
Benzine,DE LOREAN,33
Benzine,DE SOTO,15
Benzine,DE TOMASO,28
Benzine,DECAUVILLE,1
Benzine,DEL MONTE JEEP,1
Benzine,DELAGE,7
Benzine,DELAHAYE,7
Benzine,DEON,1
Benzine,DERBY,1
Benzine,DESOTO,11
Benzine,DEUTSCH BONNET,2
Benzine,DFSK,1
Benzine,DIAMOND DSM,1
Benzine,DIATTO,1
Benzine,DJ SPORTS CARS,2
Benzine,DODGE,1109
Benzine,DODGE BROTHERS,4
Benzine,DODGE-LINDY,1
Benzine,DOMINO,2
Benzine,DONKERVOORT,96
Benzine,DONNET,1
Benzine,DONNET ZEDEL,5
Benzine,DS,4541
Benzine,DUTTON,20
Benzine,E.B.S.,1
Benzine,EAGLE,9
Benzine,EAGLE COACH,1
Benzine,EAGLE COACH COMPANY,8
Benzine,EDSEL,13
Benzine,ENVEMO BRASILIEN,1
Benzine,ERA,3
Benzine,ERA CARS,1
Benzine,ERRA,1
Benzine,ERSKINE,1
Benzine,ESSEX,5
Benzine,EUNOS,3
Benzine,EVANTA,1
Benzine,EVANTE,1
Benzine,EVIL TWIN,1
Benzine,EXCALIBUR,13
Benzine,EXECUTIVE COACH BUILDERS,1
Benzine,EYSINK,1
Benzine,F.N.,1
Benzine,FACEL VEGA,9
Benzine,FACTORY FIVE,2
Benzine,FALCON,1
Benzine,FEDERAL,3
Benzine,FERRARI,2109
Benzine,FERVES,4
Benzine,FIAT,129376
Benzine,FIAT/ABARTH,5
Benzine,FIBERFAB,3
Benzine,FIERO,2
Benzine,FISHER FURY,5
Benzine,FLEUR DE LYS,1
Benzine,FMR,4
Benzine,FORD,264886
Benzine,FORD-CNG-TECHNIK,346
Benzine,FORD-K,1
Benzine,FORDSON,2
Benzine,FOREST RIVER,1
Benzine,FORMOSA,1
Benzine,FORMULA,5
Benzine,FOUR WINDS,1
Benzine,FRANKLIN,4
Benzine,FRAZER,1
Benzine,FRAZER NASH,1
Benzine,FREIGHT-ROVER,1
Benzine,FS-LUBLIN,5
Benzine,FSM,3
Benzine,FSO,9
Benzine,FUNBUGGIES,1
Benzine,G.M.C.,144
Benzine,GARDNER DOUGLAS,5
Benzine,GAS,1
Benzine,GAZ,18
Benzine,GAZELLE,1
Benzine,GBS,1
Benzine,GEIGER,1
Benzine,GEMINI,1
Benzine,GENERAL MOTORS-GMC,21
Benzine,GENIE,1
Benzine,GEORGES ROY,1
Benzine,GEORGES/RICHARD,1
Benzine,GESER,1
Benzine,GG QUAD,1
Benzine,GIBBONS,1
Benzine,GILBERN,1
Benzine,GINETTA,4
Benzine,GLAS,8
Benzine,GM,1
Benzine,GM DAEWOO,20
Benzine,GMC,52
Benzine,GMC-COACHMAN,1
Benzine,GMC-JIMMY,1
Benzine,GOGGOMOBIL,11
Benzine,GOLIATH,3
Benzine,GP PROJECTS,1
Benzine,GRAHAM,2
Benzine,GRAHAM-PAIGE,2
Benzine,GRANDIN,1
Benzine,GRAVETTI,2
Benzine,GREAT WALL,1
Benzine,GREAT WALL MOTOR COMPANY,2
Benzine,GREGOIRE,1
Benzine,GRIFFITH,1
Benzine,GRINNALL,1
Benzine,GTD,1
Benzine,GTM,4
Benzine,GULLWING CARS,3
Benzine,HAINSWORTH,1
Benzine,HALDANE,1
Benzine,HALL,1
Benzine,HANOMAG,4
Benzine,HARLEY DAVIDSON,1
Benzine,HARTGE,2
Benzine,HAWK,1
Benzine,HEALEY,7
Benzine,HERBERT ENGINEERING,1
Benzine,HERITAGE,2
Benzine,HILLMAN,9
Benzine,HINDUSTAN,3
Benzine,HISPANO SUIZA,1
Benzine,HMC,1
Benzine,HOLDEN,1
Benzine,HONDA,20185
Benzine,HORCH,3
Benzine,HOTCHKISS,22
Benzine,HUDSON,26
Benzine,HUMBER,12
Benzine,HUMMER,42
Benzine,HUPMOBILE,2
Benzine,HYMER,2
Benzine,HYUNDAI,128830
Benzine,IAV,30
Benzine,IKA-RENAULT,1
Benzine,IMPERIAL,17
Benzine,IMV,1
Benzine,INDUSAUTO,1
Benzine,INFINITI,443
Benzine,INFINITY,1
Benzine,INNOCENTI,18
Benzine,INTERMECCANICA,3
Benzine,INTERNATIONAL,12
Benzine,INTERNATIONAL HARVESTER,8
Benzine,INVICTA,4
Benzine,ISETTA,1
Benzine,ISO,2
Benzine,ISO RIVOLTA,10
Benzine,ISOTTA-FRASCHINI,1
Benzine,ISUZU,9
Benzine,ITALA,2
Benzine,IVM-AUTOMOTIVE,1
Benzine,"J. HUSCHKE, NOHFELDE",1
Benzine,J.B.A.,2
Benzine,JACKSON,1
Benzine,JAGO,7
Benzine,JAGUAR,5043
Benzine,JAGUAR CARS,458
Benzine,JAGUAR LAND ROVER,370
Benzine,JEEP,9367
Benzine,JENSEN,51
Benzine,JINGDEZHEN CHANGHE,1
Benzine,JPR WILDCAT,2
Benzine,KAISER,7
Benzine,KAISER-JEEP,5
Benzine,KALMAR,2
Benzine,KARMA,2
Benzine,KAWASAKI,1
Benzine,KIA,204087
Benzine,KIA MOTORS,15
Benzine,KIAMASTER,20
Benzine,KIEFT,1
Benzine,KLEINSCHNITTGER,1
Benzine,KNAUS,1
Benzine,KRYSTAL ENTERPRISES,1
Benzine,KTM,7
Benzine,LA LICORNE,4
Benzine,LA SALLE,2
Benzine,LADA,175
Benzine,LADA AUTOMOBILE GMBH,1
Benzine,LADA-VAZ,36
Benzine,LAFITTE,1
Benzine,LAGONDA,28
Benzine,LAMBORGHINI,445
Benzine,LANCHESTER,2
Benzine,LANCIA,2996
Benzine,LAND ROVER,6740
Benzine,LANDWIND,29
Benzine,LANE,1
Benzine,LASSALLE,1
Benzine,LATERAL DESIGN LIMITED,1
Benzine,LAWIL,1
Benzine,LE MANS,1
Benzine,LEA FRANCIS,4
Benzine,LEADER,1
Benzine,LEDL,1
Benzine,LENCIA,1
Benzine,LEXUS,1109
Benzine,LEYLAND,16
Benzine,LEYLAND INNOCENTI,7
Benzine,LIBERTY,1
Benzine,LINCOLN,277
Benzine,LISTER,1
Benzine,LLOYD,8
Benzine,LOCOMOBILE,2
Benzine,LOCUST,2
Benzine,LOMBARDI,2
Benzine,LOTUS,455
Benzine,LUAZ,2
Benzine,LUCENTI,1
Benzine,M&R RACE KABRIO M,2
Benzine,MAC 1,1
Benzine,MADISON,1
Benzine,MAGIRUS-DEUTZ,1
Benzine,MARCOS,15
Benzine,MARLIN,7
Benzine,MARMON,1
Benzine,MARQUETTE,1
Benzine,MARUTI,10
Benzine,MASERATI,1434
Benzine,MATFORD,1
Benzine,MATHIS,4
Benzine,MATRA,17
Benzine,MATRA BONNET,1
Benzine,MATRA SPORTS,1
Benzine,MAXWELL,1
Benzine,MAYBACH,13
Benzine,MAZDA,94358
Benzine,MC LAREN,199
Benzine,MCCOY,1
Benzine,MEGA,4
Benzine,MELEX,1
Benzine,MERCEDES BALCAMP,2
Benzine,MERCEDES-AMG,2707
Benzine,MERCEDES-BENZ,159153
Benzine,MERCEDES-HYMER,1
Benzine,MERCEDES-SIMPLEX,1
Benzine,MERCURY,110
Benzine,MERLIN,3
Benzine,MESSERSCHMITT,2
Benzine,METROPOLITAN,1
Benzine,MEV,9
Benzine,MG,977
Benzine,MG TF KIT,1
Benzine,MGA,5
Benzine,MGM,3
Benzine,MGXPOWER,1
Benzine,MICRO COMPACT CAR,8
Benzine,MICRO COMPACT CAR SMART,61
Benzine,MIDAS,2
Benzine,MIDTEC,2
Benzine,MILLS,1
Benzine,MINARI ALFA CLUB,1
Benzine,MINERVA,69
Benzine,MINI,86514
Benzine,MINI AUTO,1
Benzine,MINIJEM,1
Benzine,MINOTTO,1
Benzine,MITCHELL,1
Benzine,MITSUBISHI,50731
Benzine,MITSUOKA,2
Benzine,MK,6
Benzine,MK INDY,4
Benzine,MK SPORTSCARS,1
Benzine,MNR,2
Benzine,MOBITECTURE,1
Benzine,MOHR,1
Benzine,MOKE,4
Benzine,MONTEVERDI,2
Benzine,MORETTI,2
Benzine,MORGAN,182
Benzine,MORGAN MOTOR COMPANY LTD,1
Benzine,MORRIS,124
Benzine,MORS,2
Benzine,MOSKVITCH,7
Benzine,MOSS,1
Benzine,MOTO GUZZI,1
Benzine,MOWAG,2
Benzine,Merkur,1
Benzine,N.S.U.,49
Benzine,NAGANT,1
Benzine,NAMCO,1
Benzine,NARDI,1
Benzine,NASH,24
Benzine,NATIONAL COACH ENG.,1
Benzine,NCF,2
Benzine,NECKAR,4
Benzine,NEKAF,44
Benzine,NEWELL COACH,1
Benzine,NG CARS LTD,1
Benzine,NILSSON,3
Benzine,NISSAN,131476
Benzine,NSU-FIAT,3
Benzine,NYSA MOTOR,1
Benzine,OAKLAND,2
Benzine,OLDSMOBILE,146
Benzine,ONBEKEND,6
Benzine,ONYX FIREFLY,2
Benzine,OPEL,311220
Benzine,OPPERMAN,1
Benzine,OSCA,5
Benzine,OVERLAND,4
Benzine,OVRIGA,1
Benzine,OWEN MAGNETIC,1
Benzine,PACKARD,75
Benzine,PANHARD,32
Benzine,PANHARD-LEVASSOR,10
Benzine,PANTHER,7
Benzine,PARIS CARS MERLIN,1
Benzine,PAYSANDU-AUTOMOTOR URUG.,1
Benzine,PEERLESS,1
Benzine,PEGASO,2
Benzine,PEUGEOT,311271
Benzine,PGO,3
Benzine,PIAGGIO,2
Benzine,PIERCE-ARROW,3
Benzine,PILGRIM,15
Benzine,PILGRIM-SUMO,2
Benzine,PININFARINA,3
Benzine,PLYMOUTH,162
Benzine,POLSKI FIAT,21
Benzine,PONTIAC,317
Benzine,PORSCHE,22311
Benzine,PRINCE,1
Benzine,PROTON,1
Benzine,PUCH,62
Benzine,PUMA,3
Benzine,PURSANG,1
Benzine,QUANTUM,17
Benzine,QUATTRO,642
Benzine,QVALE AUTOMOTIVE GROUPE,2
Benzine,RADICAL SPORTSCARS,2
Benzine,RAILTON,1
Benzine,RAM,6
Benzine,RAMBLER,6
Benzine,RANGEROVER,30
Benzine,RAPIDO,1
Benzine,RAW,1
Benzine,RCB,1
Benzine,RCH,1
Benzine,REGAL,2
Benzine,RELIANT,30
Benzine,RENAULT,296586
Benzine,RENAULT ALPINE,4
Benzine,RENAULT RODEO,1
Benzine,RENAULT SPORT,1
Benzine,RENAULT TECH,7
Benzine,REO,1
Benzine,RICKMAN,7
Benzine,RILEY,55
Benzine,ROAD RUNNER,1
Benzine,ROBIN HOOD,11
Benzine,ROBUR,1
Benzine,ROCHDALE,1
Benzine,ROLLAND-PILAIN,1
Benzine,ROLLS ROYCE,383
Benzine,ROLLS-ROYCE,79
Benzine,ROSENGART,9
Benzine,ROTRAX SAFARI,1
Benzine,ROUSSON,1
Benzine,ROVER,315
Benzine,ROVIN,2
Benzine,SAAB,4922
Benzine,SABRA,1
Benzine,SACHSENRING,16
Benzine,SAINT LOUIS,1
Benzine,SAKER,1
Benzine,SALEEN,1
Benzine,SALMSON,7
Benzine,SAM,3
Benzine,SANTANA,13
Benzine,SATURN,10
Benzine,SAVIEM,1
Benzine,SBARRO,1
Benzine,SCALDIA,1
Benzine,SCHERER,1
Benzine,SCIMITAR,1
Benzine,SCION,3
Benzine,SEARS-ROEBUCK,1
Benzine,SEAT,118499
Benzine,SECMA,1
Benzine,SHAMROCK,2
Benzine,SHAY,1
Benzine,SHELBY,13
Benzine,SHENYANG BRILLIANCE JINBE,2
Benzine,SIATA,6
Benzine,SIMCA,82
Benzine,SIMCA-FIAT,4
Benzine,SIMPLEX,1
Benzine,SINGER,16
Benzine,SIZAIRE ET NAUDIN,1
Benzine,SIZAIRE FRERES,1
Benzine,SKODA,135652
Benzine,SMART,7711
Benzine,SOCIETE,1
Benzine,SOUTH ROADCRAFT,1
Benzine,SOUTHERN ROADCRAFT,2
Benzine,SPARTAN,8
Benzine,SPIJKER,4
Benzine,SPYKER,14
Benzine,SS,2
Benzine,SS JAGUAR,6
Benzine,SS SWALLOW,1
Benzine,SSANGYONG,151
Benzine,STANDARD,9
Benzine,STANDARD MOTOR,1
Benzine,STANDARD MOTOR CORP.,1
Benzine,STANGUELLINI,1
Benzine,STANLEY,7
Benzine,STAR,1
Benzine,STEYR D PUCH,12
Benzine,STEYR-PUCH,17
Benzine,STODDARD DAYTON,1
Benzine,STOEWER,1
Benzine,STRATTON,1
Benzine,STUART TAYLOR,1
Benzine,STUDEBAKER,49
Benzine,STUTZ,13
Benzine,SUBARU,8240
Benzine,SUNBEAM,27
Benzine,SUNBEAM-TALBOT,3
Benzine,SUPERFORMANCE,1
Benzine,SURREY,1
Benzine,SUZUKI,110575
Benzine,SVC,1
Benzine,SWALLOW,2
Benzine,SWINDON,1
Benzine,SYLVA,17
Benzine,SYLVA STRIKER,1
Benzine,T & J,1
Benzine,TALBOT,38
Benzine,TALBOT-LAGO,4
Benzine,TATA,1
Benzine,TATRA,9
Benzine,TEAL,1
Benzine,TEILHOL,7
Benzine,TGB,1
Benzine,THOR,8
Benzine,THOROUGHBRED,1
Benzine,TIGER,3
Benzine,TOFAS,1
Benzine,TOFAS-FIAT,3
Benzine,TOMMY KAIRA,1
Benzine,TOYOTA,177507
Benzine,TOYOTA-CHINOOK,1
Benzine,TRABANT,125
Benzine,TRAIL-LITE,1
Benzine,TRAKA,1
Benzine,TRANSEUROP ENGINEERING,1
Benzine,TRIPOD,3
Benzine,TRIUMPH,453
Benzine,TVR,123
Benzine,U.A.S.,1
Benzine,U.V.A. FUGITIVE,3
Benzine,UAZ,83
Benzine,UFO,1
Benzine,ULTIMA,4
Benzine,UNIC,1
Benzine,UNIMOG,1
Benzine,UVA,1
Benzine,VALIANT,1
Benzine,VANCLEE,1
Benzine,VANDEN PLAS,3
Benzine,VANDEN PLAS PRINCESS,1
Benzine,VAUXHALL,112
Benzine,VAZ,29
Benzine,VELOREX,1
Benzine,VERITAS,1
Benzine,VERNON DERBY,1
Benzine,VESPA,5
Benzine,VICTORIA,2
Benzine,VIELHAUSER MENSCH VM,4
Benzine,VIGNALE,4
Benzine,VINTAGE,3
Benzine,VM,6
Benzine,VOISIN,2
Benzine,VOLGA,6
Benzine,VOLKSWAGEN,557999
Benzine,VOLVO,89301
Benzine,VORTEX,1
Benzine,VW,1938
Benzine,VW-PORSCHE,47
Benzine,WANDERER,2
Benzine,WARTBURG,17
Benzine,WAZ,1
Benzine,WESTFIELD,68
Benzine,WHITE,9
Benzine,WIESMANN,22
Benzine,WILLYS,174
Benzine,WILLYS KNIGHT,3
Benzine,WILLYS OVERLAND,51
Benzine,WINNEBAGO,8
Benzine,WOLGA-AUTOWERKEN (SU),4
Benzine,WOLSELEY,8
Benzine,XENATEC,1
Benzine,YUGO,2
Benzine,ZASTAVA,21
Benzine,ZAZ,3
Benzine,ZELFBOUW,15
Benzine,ZENOS,1
Benzine,ZIMMER,2
Benzine,ZIMMERMANN,1
Benzine,ZUENDAPP,2
Benzine,ZUEST,1
Diesel,A.M. GENERAL,1
Diesel,ACHLEITNER,2
Diesel,ACROSS,6
Diesel,ADRIA,5134
Diesel,ADRIA MOBIL,1431
Diesel,AHORN,21
Diesel,AIRSTREAM,1
Diesel,AIXAM,1
Diesel,AL-KO,3
Diesel,ALFA,1
Diesel,ALFA ROMEO,4634
Diesel,ALKO,126
Diesel,ALLIED VEHICLES LTD,1
Diesel,ALPINA,96
Diesel,AM GENERAL,2
Diesel,AMC JEEP,1
Diesel,API CZ,2
Diesel,ARBGEM. DB/HHF,1
Diesel,ARCA,27
Diesel,ARCADIA,3
Diesel,ARTO,1
Diesel,AUDI,42850
Diesel,AUSTIN,6
Diesel,AUSTIN-MORRIS,1
Diesel,AUTO ROLLER,1
Diesel,AUTO TRAIL VR LIMITED,1
Diesel,AUTO UNION,23
Diesel,AUTO-SLEEPERS,12
Diesel,AUTO-TRAIL,1
Diesel,AUTO-TRAIL V.R. LIMITED,1
Diesel,AUTOSTAR,97
Diesel,AUTOTRAIL,5
Diesel,AUTOVILLA,1
Diesel,BAVARIA,132
Diesel,BAVARIA CAMP,9
Diesel,BEDFORD,6
Diesel,BENIMAR,615
Diesel,BENTLEY,26
Diesel,BETA,1
Diesel,BINZ,95
Diesel,BLAUGAM,1
Diesel,BLUCAMP,5
Diesel,BLUE BIRD,3
Diesel,BLUEBIRD,2
Diesel,BMW,63738
Diesel,BMW-GLAS,1
Diesel,BOVA,3
Diesel,BRAVIA,32
Diesel,BREMACH,5
Diesel,BUERSTNER,5181
Diesel,BURSTNER GMBH,238
Diesel,BURSTNER S.A.,34
Diesel,BUSCONCEPT,1
Diesel,C.I.,12
Diesel,CADILLAC,6
Diesel,CAMPEREVE,8
Diesel,CAPRON,3768
Diesel,CARAVANS INTERNAT. SPA,41
Diesel,CARAVANS INTERNAT.(C.I.),6
Diesel,CARBODIES,6
Diesel,CARTHAGO,2514
Diesel,CHALLANGER,28
Diesel,CHALLENGER,1083
Diesel,CHATEAU,29
Diesel,CHAUSSON,2373
Diesel,CHEVROLET,1069
Diesel,CHEVROLET-AIRSTREAM,1
Diesel,CHRYSLER,119
Diesel,CI,101
Diesel,CITROEN,21603
Diesel,CITROEN FLEURETTE,9
Diesel,CITROEN/CHAUSSON,1
Diesel,CITY PICK-UP,4
Diesel,CITY-VAN,1
Diesel,CONCORDE,153
Diesel,CONCORDE REISEMOBILE GMBH,19
Diesel,CRISTALL,6
Diesel,CS,12
Diesel,CUPRA,2
Diesel,DACIA,1229
Diesel,DAF,15
Diesel,DAIHATSU,8
Diesel,DAIMLER,5
Diesel,DAIMLER BENZ,58
Diesel,DAIMLERCHRYSLER (USA),4
Diesel,DAIMLERCHRYSLER AG,103
Diesel,DAMONWORKHORSE,1
Diesel,DANGEL,4
Diesel,DATSUN,4
Diesel,DEN OUDSTEN,1
Diesel,DERCKS,136
Diesel,DETHLEFFS,3185
Diesel,DODGE,27
Diesel,DREAM,9
Diesel,DREAMER,84
Diesel,DS,828
Diesel,DUTTON,1
Diesel,EAGLE,1
Diesel,EBRO,2
Diesel,ELIOS,5
Diesel,ELNAGH,451
Diesel,ENCORE,1
Diesel,ESTEREL,7
Diesel,ESTEREL FRANCE,1
Diesel,ETRUSCO,42
Diesel,EURA MOBIL,534
Diesel,EURAMOBIL,44
Diesel,EUREKA,1
Diesel,EUROMOBIL,11
Diesel,EVM,4
Diesel,FENDT,41
Diesel,FIAT,10292
Diesel,FIAT DUCATO AFFINITY,5
Diesel,FIAT DUCATO/GLOBE-TRAVELL,2
Diesel,FIAT DUCATO/NEO-TRAVELLER,1
Diesel,FIAT-FLEURETTE,44
Diesel,FIAT/BAVARIA,28
Diesel,FIAT/CHALLENGER,10
Diesel,FIAT/CHAUSSON,9
Diesel,FIAT/NIESMANN+BISCHOFF,40
Diesel,FIAT/PILOTE,53
Diesel,FLAIR,4
Diesel,FLEETWOOD,3
Diesel,FLEURETTE,84
Diesel,FONT VENDOME,33
Diesel,FORD,40516
Diesel,FORETRAVEL,1
Diesel,FORMULA,6
Diesel,FORSTER,29
Diesel,FRANKIA,129
Diesel,FRANKIA-RMB,34
Diesel,FREIGHTLINER,5
Diesel,FUSO,2
Diesel,G.M.C.,8
Diesel,GAS,1
Diesel,GAZELLE,1
Diesel,GELAENDEF.GES.GFG(A),4
Diesel,GENERAL MOTORS-GMC,1
Diesel,GEORGIE BOY MFTG,1
Diesel,GES GFG,1
Diesel,GIOTTILINE,165
Diesel,GLOBE-TRAVELLER,6
Diesel,GLOBECAR,26
Diesel,GMC,5
Diesel,GMC-COACHMAN,1
Diesel,GULFSTREAM,1
Diesel,HANOMAG,4
Diesel,HANOMAG-HENSCHEL,3
Diesel,HANROAD,2
Diesel,HENSCHEL,1
Diesel,HOBBY,835
Diesel,HOME CAR,47
Diesel,HONDA,1583
Diesel,HONKER,1
Diesel,HOTCHKISS,2
Diesel,HUISKAMP,5
Diesel,HUMBER,1
Diesel,HUMMER,6
Diesel,HYMER,6970
Diesel,HYUNDAI,3139
Diesel,Hobbycar,1
Diesel,I.V.R.,21
Diesel,I.V.R. SRL,5
Diesel,IIC,27
Diesel,ILUSION,24
Diesel,INDUSAUTO,11
Diesel,INFINITI,180
Diesel,INTERNATIONAL,6
Diesel,INTERNATIONAL HARVESTER,2
Diesel,IRIS FRANCE,1
Diesel,ISUZU,6
Diesel,ITINEO,132
Diesel,IVECO,387
Diesel,IVECO FIAT,5
Diesel,IVECO MAGIRUS,2
Diesel,IVECO/CONCORDE,12
Diesel,IVR,8
Diesel,JAGUAR,3697
Diesel,JAGUAR CARS,85
Diesel,JAGUAR LAND ROVER,1029
Diesel,JEEP,1042
Diesel,JEEP-VIASA,3
Diesel,JOINT,118
Diesel,KABE,28
Diesel,KAESSBOHRER,1
Diesel,KAISER,1
Diesel,KAISER-JEEP,1
Diesel,KARMANN MOBIL,483
