Brandstof omschrijving,Bouwjaar,Aantal auto's,Laadpalen
Benzine,2018,469339.0,36977
Benzine,2019,472433.0,36977
Benzine,2020,386574.0,36977
Benzine,2021,361189.0,36977
Benzine,2022,275804.0,50774
Diesel,2018,92264.0,50774
Diesel,2019,63772.0,50774
Diesel,2020,37281.0,50774
Diesel,2021,33870.0,65613
Diesel,2022,26427.0,65613
Elektriciteit,2018,24086.0,65613
Elektriciteit,2019,63018.0,65613
Elektriciteit,2020,76017.0,85453
Elektriciteit,2021,72133.0,85453
Elektriciteit,2022,91067.0,85453
Hybride,2018,31974.0,85453
Hybride,2019,42729.0,123361
Hybride,2020,75957.0,123361
Hybride,2021,134281.0,123361
Hybride,2022,159031.0,123361
Benzine,2023,3272.8124374747276,123361
Benzine,2024,-37758.08756253123,123361
Benzine,2025,-78788.98756252229,123361
Benzine,2026,-119819.88756252825,123361
Benzine,2027,-160850.7875625193,123361
Benzine,2028,-201881.68756252527,123361
Benzine,2029,-242912.58756253123,123361
Benzine,2030,-283943.4875625223,123361
Diesel,2023,89936.22334389389,123361
Diesel,2024,66454.42334389687,123361
Diesel,2025,42972.623343892395,123361
Diesel,2026,19490.823343895376,123361
Diesel,2027,-3990.9766561090946,123361
Diesel,2028,-27472.776656106114,123361
Diesel,2029,-50954.576656103134,123361
Diesel,2030,-74436.3766561076,123361
Elektriciteit,2023,110544.55544354394,123361
Elektriciteit,2024,124350.95544354245,123361
Elektriciteit,2025,138157.3554435447,123361
Elektriciteit,2026,151963.7554435432,123361
Elektriciteit,2027,165770.15544354543,123361
Elektriciteit,2028,179576.55544354394,123361
Elektriciteit,2029,193382.95544354245,123361
Elektriciteit,2030,207189.3554435447,123361
Hybride,2023,204807.0000000149,123361
Hybride,2024,245530.0000000149,123361
Hybride,2025,286253.0000000149,123361
Hybride,2026,326976.0000000149,123361
Hybride,2027,367699.0000000149,123361
Hybride,2028,408422.0000000149,123361
Hybride,2029,449145.0000000149,123361
Hybride,2030,489868.0000000149,123361
